,fullname,orderid,shipcountry,companyname,companyname,unitprice,quantity,orderdate,shippeddate,requireddate
0,Steven Buchanan,10248,France,Federal Shipping,Vins et alcools Chevalier,14.0000,12,1996-07-04,1996-07-16,1996-08-01
1,Steven Buchanan,10248,France,Federal Shipping,Vins et alcools Chevalier,9.8000,10,1996-07-04,1996-07-16,1996-08-01
2,Steven Buchanan,10248,France,Federal Shipping,Vins et alcools Chevalier,34.8000,5,1996-07-04,1996-07-16,1996-08-01
3,Michael Suyama,10249,Germany,Speedy Express,Toms Spezialitten,18.6000,9,1996-07-05,1996-07-10,1996-08-16
4,Michael Suyama,10249,Germany,Speedy Express,Toms Spezialitten,42.4000,40,1996-07-05,1996-07-10,1996-08-16
5,Janet Leverling,10251,France,Speedy Express,Victuailles en stock,16.8000,6,1996-07-08,1996-07-15,1996-08-05
6,Janet Leverling,10251,France,Speedy Express,Victuailles en stock,15.6000,15,1996-07-08,1996-07-15,1996-08-05
7,Janet Leverling,10251,France,Speedy Express,Victuailles en stock,16.8000,20,1996-07-08,1996-07-15,1996-08-05
8,Margaret Peacock,10250,Brazil,United Package,Hanari Carnes,7.7000,10,1996-07-08,1996-07-12,1996-08-05
9,Margaret Peacock,10250,Brazil,United Package,Hanari Carnes,42.4000,35,1996-07-08,1996-07-12,1996-08-05
10,Margaret Peacock,10250,Brazil,United Package,Hanari Carnes,16.8000,15,1996-07-08,1996-07-12,1996-08-05
11,Margaret Peacock,10252,Belgium,United Package,Suprmes dlices,64.8000,40,1996-07-09,1996-07-11,1996-08-06
12,Margaret Peacock,10252,Belgium,United Package,Suprmes dlices,2.0000,25,1996-07-09,1996-07-11,1996-08-06
13,Margaret Peacock,10252,Belgium,United Package,Suprmes dlices,27.2000,40,1996-07-09,1996-07-11,1996-08-06
14,Janet Leverling,10253,Brazil,United Package,Hanari Carnes,10.0000,20,1996-07-10,1996-07-16,1996-07-24
15,Janet Leverling,10253,Brazil,United Package,Hanari Carnes,14.4000,42,1996-07-10,1996-07-16,1996-07-24
16,Janet Leverling,10253,Brazil,United Package,Hanari Carnes,16.0000,40,1996-07-10,1996-07-16,1996-07-24
17,Steven Buchanan,10254,Switzerland,United Package,Chop-suey Chinese,3.6000,15,1996-07-11,1996-07-23,1996-08-08
18,Steven Buchanan,10254,Switzerland,United Package,Chop-suey Chinese,19.2000,21,1996-07-11,1996-07-23,1996-08-08
19,Steven Buchanan,10254,Switzerland,United Package,Chop-suey Chinese,8.0000,21,1996-07-11,1996-07-23,1996-08-08
20,Anne Dodsworth,10255,Switzerland,Federal Shipping,Richter Supermarkt,15.2000,20,1996-07-12,1996-07-15,1996-08-09
21,Anne Dodsworth,10255,Switzerland,Federal Shipping,Richter Supermarkt,13.9000,35,1996-07-12,1996-07-15,1996-08-09
22,Anne Dodsworth,10255,Switzerland,Federal Shipping,Richter Supermarkt,15.2000,25,1996-07-12,1996-07-15,1996-08-09
23,Anne Dodsworth,10255,Switzerland,Federal Shipping,Richter Supermarkt,44.0000,30,1996-07-12,1996-07-15,1996-08-09
24,Janet Leverling,10256,Brazil,United Package,Wellington Importadora,26.2000,15,1996-07-15,1996-07-17,1996-08-12
